category_name,sales_count,total_gmv,avg_price,review_count,avg_review_score,bad_review_count,bad_review_rate
health_beauty,9465,1233131.72,130.28,8601,4.229,982,0.1142
watches_gifts,5859,1166176.98,199.04,5454,4.121,746,0.1368
bed_bath_table,10953,1023434.76,93.44,9177,3.999,1459,0.159
sports_leisure,8431,954852.55,113.25,7486,4.228,851,0.1137
computers_accessories,7644,888724.61,116.26,6499,4.081,942,0.1449
furniture_decor,8160,711927.69,87.25,6260,4.058,958,0.153
housewares,6795,615628.69,90.6,5709,4.194,671,0.1175
cool_stuff,3718,610204.1,164.12,3531,4.217,398,0.1127
auto,4140,578966.65,139.85,3792,4.146,491,0.1295
toys,4030,471286.48,116.94,3774,4.238,429,0.1137
garden_tools,4268,470495.28,110.24,3428,4.181,419,0.1222
baby,2982,400421.84,134.28,2787,4.104,398,0.1428
perfumery,3340,390144.65,116.81,3076,4.261,363,0.118
telephony,4430,309860.23,69.95,4069,4.052,575,0.1413
office_furniture,1668,268154.31,160.76,1244,3.643,273,0.2195
stationery,2466,223788.69,90.75,2251,4.295,226,0.1004
computers,199,218684.14,1098.92,174,4.224,20,0.1149
pet_shop,1924,211695.64,110.03,1680,4.274,179,0.1065
musical_instruments,651,184315.74,283.13,605,4.235,71,0.1174
small_appliances,658,182754.12,277.74,604,4.257,70,0.1159
unknown,1537,170726.63,111.08,1382,4.01,240,0.1737
electronics,2729,155043.93,56.81,2498,4.124,330,0.1321
fashion_bags_accessories,1985,149329.39,75.23,1811,4.242,184,0.1016
consoles_games,1089,148003.37,135.91,1009,4.178,112,0.111
construction_tools_construction,916,142108.49,155.14,731,4.125,97,0.1327
luggage_accessories,1077,138701.63,128.79,1015,4.37,83,0.0818
home_appliances_2,231,107953.95,467.33,226,4.15,28,0.1239
home_construction,596,81407.57,136.59,481,3.985,83,0.1726
home_appliances,754,78832.48,104.55,744,4.216,80,0.1075
agro_industry_and_commerce,206,70566.1,342.55,177,4.107,22,0.1243
furniture_living_room,495,67350.7,136.06,409,4.071,58,0.1418
home_confort,429,58008.45,135.22,390,3.887,73,0.1872
fixed_telephony,255,55315.21,216.92,209,3.967,35,0.1675
air_conditioning,289,53323.56,184.51,242,4.116,34,0.1405
audio,362,50570.6,139.7,345,3.839,75,0.2174
small_appliances_home_oven_and_coffee,73,46589.56,638.21,72,4.431,5,0.0694
kitchen_dining_laundry_garden_furniture,274,45531.98,166.18,239,4.126,27,0.113
books_general_interest,537,45302.15,84.36,492,4.535,31,0.063
construction_tools_lights,301,39957.0,132.75,239,4.151,25,0.1046
construction_tools_safety,183,38773.22,211.88,158,3.975,27,0.1709
industry_commerce_and_business,265,38498.81,145.28,230,4.222,24,0.1043
food,499,28731.15,57.58,437,4.327,44,0.1007
market_place,305,27795.77,91.13,272,4.088,33,0.1213
costruction_tools_garden,232,25096.28,108.17,190,4.247,23,0.1211
art,197,23657.3,120.09,193,4.098,27,0.1399
fashion_shoes,257,23001.46,89.5,231,4.275,25,0.1082
drinks,361,21529.84,59.64,287,4.237,29,0.101
signaling_and_security,197,21315.05,108.2,137,4.117,16,0.1168
furniture_bedroom,103,19051.8,184.97,90,4.256,11,0.1222
books_technical,263,18702.23,71.11,255,4.427,24,0.0941
costruction_tools_tools,103,15903.95,154.41,94,4.426,8,0.0851
food_drink,269,14942.88,55.55,221,4.446,9,0.0407
fashion_male_clothing,125,10452.33,83.62,105,3.819,24,0.2286
fashion_underwear_beach,127,9305.95,73.28,116,4.009,19,0.1638
christmas_supplies,150,8737.84,58.25,123,4.114,14,0.1138
tablets_printing_image,83,7528.41,90.7,77,4.156,10,0.1299
cine_photo,70,6674.47,95.35,63,4.333,7,0.1111
music,38,6034.35,158.8,38,4.211,4,0.1053
dvds_blu_ray,61,4542.59,74.47,56,4.196,8,0.1429
party_supplies,42,4465.19,106.31,38,4.079,6,0.1579
books_imported,57,4418.86,77.52,50,4.44,5,0.1
furniture_mattress_and_upholstery,37,4323.38,116.85,37,3.892,7,0.1892
portateis_cozinha_e_preparadores_de_alimentos,14,3933.63,280.97,13,3.615,3,0.2308
fashio_female_clothing,45,2634.94,58.55,36,3.917,6,0.1667
fashion_sport,29,2094.52,72.22,26,4.385,2,0.0769
la_cuisine,14,2054.99,146.78,12,4.25,2,0.1667
arts_and_craftmanship,24,1814.01,75.58,23,4.174,3,0.1304
diapers_and_hygiene,37,1500.79,40.56,25,3.96,3,0.12
pc_gamer,8,1306.95,163.37,7,3.429,2,0.2857
flowers,33,1110.04,33.64,28,4.393,2,0.0714
home_comfort_2,30,760.27,25.34,23,3.826,5,0.2174
cds_dvds_musicals,14,730.0,52.14,12,4.667,0,0.0
fashion_childrens_clothes,7,519.95,74.28,7,5.0,0,0.0
security_and_services,2,283.29,141.64,2,2.5,1,0.5
