date,order_count,gmv,aov,paying_customers
2016-09-15,1,0.0,0.0,0
2016-10-03,7,559.53,79.93,7
2016-10-04,54,9821.42,181.88,54
2016-10-05,35,7209.5,205.99,35
2016-10-06,41,6733.52,164.23,41
2016-10-07,38,6832.76,179.81,38
2016-10-08,36,8475.93,235.44,35
2016-10-09,20,3037.32,151.87,20
2016-10-10,34,3896.73,114.61,33
2016-12-23,1,19.62,19.62,1
2017-01-05,32,707.27,22.1,18
2017-01-06,4,988.28,247.07,4
2017-01-07,4,1447.99,362.0,4
2017-01-08,4,507.85,126.96,4
2017-01-09,5,774.51,154.9,5
2017-01-10,6,1571.17,261.86,6
2017-01-11,10,2098.78,209.88,10
2017-01-12,12,1720.35,143.36,12
2017-01-13,10,2712.86,271.29,10
2017-01-14,16,1161.08,72.57,15
2017-01-15,14,2551.34,182.24,13
2017-01-16,18,3668.38,203.8,17
2017-01-17,32,3893.61,121.68,31
2017-01-18,30,3811.68,127.06,30
2017-01-19,29,4140.16,142.76,28
2017-01-20,28,4656.05,166.29,28
2017-01-21,22,2897.86,131.72,20
2017-01-22,30,4141.87,138.06,30
2017-01-23,36,7221.59,200.6,36
2017-01-24,38,5954.18,156.69,38
2017-01-25,57,8196.05,143.79,57
2017-01-26,82,14824.8,180.79,79
2017-01-27,59,12458.14,211.15,58
2017-01-28,28,5736.98,204.89,28
2017-01-29,32,6593.76,206.06,31
2017-01-30,48,11290.93,235.23,46
2017-01-31,64,11818.15,184.66,62
2017-02-01,61,8788.7,144.08,60
2017-02-02,67,10342.54,154.37,67
2017-02-03,54,10797.07,199.95,54
2017-02-04,64,15320.15,239.38,64
2017-02-05,74,10035.21,135.61,73
2017-02-06,78,10893.73,139.66,76
2017-02-07,108,16020.23,148.34,104
2017-02-08,83,13517.96,162.87,83
2017-02-09,73,10568.42,144.77,72
2017-02-10,63,14492.58,230.04,63
2017-02-11,45,5233.15,116.29,45
2017-02-12,61,16389.82,268.69,61
2017-02-13,74,12174.71,164.52,74
2017-02-14,66,12363.65,187.33,65
2017-02-15,56,7734.14,138.11,56
2017-02-16,49,6842.42,139.64,49
2017-02-17,45,8059.2,179.09,45
2017-02-18,52,8456.59,162.63,50
2017-02-19,37,4195.81,113.4,37
2017-02-20,59,8318.07,140.98,59
2017-02-21,39,8982.23,230.31,39
2017-02-22,53,7024.96,132.55,51
2017-02-23,57,7792.79,136.72,55
2017-02-24,60,7779.2,129.65,60
2017-02-25,39,4347.75,111.48,39
2017-02-26,42,6101.02,145.26,42
2017-02-27,41,6727.34,164.08,41
2017-02-28,53,11999.21,226.4,53
2017-03-01,93,14190.98,152.59,92
2017-03-02,66,12575.46,190.54,66
2017-03-03,72,13919.14,193.32,69
2017-03-04,69,10024.79,145.29,66
2017-03-05,67,8092.32,120.78,66
2017-03-06,94,10605.15,112.82,94
2017-03-07,78,13190.06,169.1,77
2017-03-08,73,14778.27,202.44,73
2017-03-09,88,13001.78,147.75,86
2017-03-10,84,14005.74,166.74,81
2017-03-11,68,12108.32,178.06,68
2017-03-12,63,7711.89,122.41,61
2017-03-13,104,18563.44,178.49,102
2017-03-14,95,16171.19,170.22,95
2017-03-15,101,16477.95,163.15,100
2017-03-16,100,16467.91,164.68,100
2017-03-17,64,13522.03,211.28,64
2017-03-18,71,17593.33,247.79,71
2017-03-19,56,7728.08,138.0,56
2017-03-20,113,19327.85,171.04,111
2017-03-21,92,13166.64,143.12,90
2017-03-22,104,16338.04,157.1,103
2017-03-23,105,18402.83,175.27,104
2017-03-24,75,11554.39,154.06,73
2017-03-25,72,10896.76,151.34,69
2017-03-26,63,7356.91,116.78,63
2017-03-27,107,18517.1,173.06,106
2017-03-28,96,13533.91,140.98,95
2017-03-29,72,9662.03,134.19,71
2017-03-30,72,11172.34,155.17,72
2017-03-31,69,13712.76,198.74,69
2017-04-01,66,18862.37,285.79,63
2017-04-02,64,10452.22,163.32,63
2017-04-03,68,10300.27,151.47,68
2017-04-04,96,14152.99,147.43,96
2017-04-05,93,20080.09,215.91,90
2017-04-06,92,20966.29,227.89,91
2017-04-07,82,14605.91,178.12,80
2017-04-08,64,9688.06,151.38,63
2017-04-09,68,9077.65,133.49,65
2017-04-10,84,13049.66,155.35,84
2017-04-11,73,8420.13,115.34,73
2017-04-12,61,8925.15,146.31,61
2017-04-13,60,11216.11,186.94,59
2017-04-14,47,7950.88,169.17,47
2017-04-15,49,9225.82,188.28,49
2017-04-16,47,6063.82,129.02,47
2017-04-17,58,8628.01,148.76,58
2017-04-18,71,23433.86,330.05,71
2017-04-19,93,13527.61,145.46,92
2017-04-20,91,14461.9,158.92,86
2017-04-21,66,10101.02,153.05,66
2017-04-22,82,14760.97,180.01,82
2017-04-23,84,11506.54,136.98,83
2017-04-24,110,15435.59,140.32,110
2017-04-25,106,16145.47,152.32,106
2017-04-26,122,18037.64,147.85,122
2017-04-27,75,11475.53,153.01,75
2017-04-28,95,17803.15,187.4,95
2017-04-29,70,13307.91,190.11,70
2017-04-30,66,9289.56,140.75,66
2017-05-01,111,13923.19,125.43,109
2017-05-02,122,19905.71,163.16,122
2017-05-03,101,12124.87,120.05,101
2017-05-04,107,15778.17,147.46,105
2017-05-05,104,15920.31,153.08,103
2017-05-06,103,16618.04,161.34,100
2017-05-07,102,18674.86,183.09,100
2017-05-08,120,18708.37,155.9,120
2017-05-09,120,23492.4,195.77,119
2017-05-10,109,22648.56,207.78,107
2017-05-11,124,21063.52,169.87,123
2017-05-12,105,13918.65,132.56,103
2017-05-13,67,9781.86,146.0,66
2017-05-14,108,16520.56,152.97,108
2017-05-15,149,21065.32,141.38,146
2017-05-16,149,24213.16,162.5,146
2017-05-17,139,21127.09,151.99,138
2017-05-18,124,20806.7,167.8,122
