category_name,review_count,avg_score,bad_review_count,bad_review_rate,low_sample_flag
security_and_services,2,2.5,1,0.5,1
pc_gamer,7,3.429,2,0.2857,1
portateis_cozinha_e_preparadores_de_alimentos,13,3.615,3,0.2308,1
fashion_male_clothing,105,3.819,24,0.2286,0
office_furniture,1244,3.643,273,0.2195,0
audio,345,3.839,75,0.2174,0
home_comfort_2,23,3.826,5,0.2174,1
furniture_mattress_and_upholstery,37,3.892,7,0.1892,0
home_confort,390,3.887,73,0.1872,0
unknown,1382,4.01,240,0.1737,0
home_construction,481,3.985,83,0.1726,0
construction_tools_safety,158,3.975,27,0.1709,0
fixed_telephony,209,3.967,35,0.1675,0
fashio_female_clothing,36,3.917,6,0.1667,0
la_cuisine,12,4.25,2,0.1667,1
fashion_underwear_beach,116,4.009,19,0.1638,0
bed_bath_table,9177,3.999,1459,0.159,0
party_supplies,38,4.079,6,0.1579,0
furniture_decor,6260,4.058,958,0.153,0
computers_accessories,6499,4.081,942,0.1449,0
dvds_blu_ray,56,4.196,8,0.1429,0
baby,2787,4.104,398,0.1428,0
furniture_living_room,409,4.071,58,0.1418,0
telephony,4069,4.052,575,0.1413,0
air_conditioning,242,4.116,34,0.1405,0
art,193,4.098,27,0.1399,0
watches_gifts,5454,4.121,746,0.1368,0
construction_tools_construction,731,4.125,97,0.1327,0
electronics,2498,4.124,330,0.1321,0
arts_and_craftmanship,23,4.174,3,0.1304,1
tablets_printing_image,77,4.156,10,0.1299,0
auto,3792,4.146,491,0.1295,0
agro_industry_and_commerce,177,4.107,22,0.1243,0
home_appliances_2,226,4.15,28,0.1239,0
garden_tools,3428,4.181,419,0.1222,0
furniture_bedroom,90,4.256,11,0.1222,0
market_place,272,4.088,33,0.1213,0
costruction_tools_garden,190,4.247,23,0.1211,0
diapers_and_hygiene,25,3.96,3,0.12,1
perfumery,3076,4.261,363,0.118,0
housewares,5709,4.194,671,0.1175,0
musical_instruments,605,4.235,71,0.1174,0
signaling_and_security,137,4.117,16,0.1168,0
small_appliances,604,4.257,70,0.1159,0
computers,174,4.224,20,0.1149,0
health_beauty,8601,4.229,982,0.1142,0
christmas_supplies,123,4.114,14,0.1138,0
sports_leisure,7486,4.228,851,0.1137,0
toys,3774,4.238,429,0.1137,0
kitchen_dining_laundry_garden_furniture,239,4.126,27,0.113,0
cool_stuff,3531,4.217,398,0.1127,0
cine_photo,63,4.333,7,0.1111,0
consoles_games,1009,4.178,112,0.111,0
fashion_shoes,231,4.275,25,0.1082,0
home_appliances,744,4.216,80,0.1075,0
pet_shop,1680,4.274,179,0.1065,0
music,38,4.211,4,0.1053,0
construction_tools_lights,239,4.151,25,0.1046,0
industry_commerce_and_business,230,4.222,24,0.1043,0
fashion_bags_accessories,1811,4.242,184,0.1016,0
drinks,287,4.237,29,0.101,0
food,437,4.327,44,0.1007,0
stationery,2251,4.295,226,0.1004,0
books_imported,50,4.44,5,0.1,0
books_technical,255,4.427,24,0.0941,0
costruction_tools_tools,94,4.426,8,0.0851,0
luggage_accessories,1015,4.37,83,0.0818,0
fashion_sport,26,4.385,2,0.0769,1
flowers,28,4.393,2,0.0714,1
small_appliances_home_oven_and_coffee,72,4.431,5,0.0694,0
books_general_interest,492,4.535,31,0.063,0
food_drink,221,4.446,9,0.0407,0
cds_dvds_musicals,12,4.667,0,0.0,1
fashion_childrens_clothes,7,5.0,0,0.0,1
